Order_ID,Customer_ID,Customer_Name,Gender,Age,Email,City,State,Country,Product_ID,Product_Name,Category,Sub_Category,Price,Quantity,Order_Date,Delivery_Date,Payment_Method,Rating
532b3f3e,90101340,Wayne Harris,Male,20,jose55@stevenson.com,East Shawn,Georgia,USA,ab3431c6,Non-Fiction,Books,Non-Fiction Model 8,318.44,4,8/26/2024,12/30/2023,Debit Card,5
dee15a50,d9098344,Melissa Long,Male,40,jacob94@jones.com,New Williamborough,Wyoming,USA,59bc1024,Perfume,Beauty,Perfume Model 1,47.67,4,3/5/2025,4/4/2024,Credit Card,3
07bd779e,be9e8d15,Christine Guzman,Male,43,qstewart@ross.com,Port Devon,Nebraska,USA,d7fea14e,T-Shirt,Clothing,T-Shirt Model 8,57.54,1,1/26/2024,1/7/2025,Debit Card,1
f52cb099,bf06c8a5,Veronica Bass,Male,61,russellstephen@santos-watts.com,South Rhondamouth,Colorado,USA,5bca2d89,T-Shirt,Clothing,T-Shirt Model 8,938.48,4,12/5/2023,6/10/2024,Debit Card,2
8d2d3abc,850dfded,Jason Cannon,Male,44,holly52@johnson-campbell.com,Port Sarah,Colorado,USA,56ff47e7,Biography,Books,Biography Model 4,942.32,1,2/26/2025,8/26/2024,Cash on Delivery,2
5099dfc9,744735d3,Michelle Dominguez,Male,52,bakerashley@hotmail.com,New Michelleberg,Illinois,USA,8d2ca5bc,Face Cream,Beauty,Face Cream Model 7,413.76,4,4/21/2023,5/9/2023,Credit Card,4
fc01e1a7,c9567f43,Danielle Warren,Other,23,adamsdavid@villegas.com,West April,South Carolina,USA,49d64d94,Shoes,Clothing,Shoes Model 6,716.49,2,10/16/2024,5/7/2024,Net Banking,1
23051fa8,2e2d6989,Felicia Vaughn,Other,56,melissawashington@yahoo.com,Frankshire,New Mexico,USA,e2d94ddf,Blender,Home & Kitchen,Blender Model 7,470.79,1,12/6/2023,5/18/2023,Cash on Delivery,4
25fe645f,8635d9ce,Michelle Wells,Male,65,zmoreno@hotmail.com,North Jason,New Jersey,USA,d3a7aee6,Jeans,Clothing,Jeans Model 5,856.32,3,10/9/2024,6/26/2023,Cash on Delivery,5
402f4077,4e272219,Sean West,Female,64,sheiladaniels@hotmail.com,Khanland,Utah,USA,68de836d,Laptop,Electronics,Laptop Model 1,240.84,1,6/13/2024,8/23/2024,Credit Card,3
5e2aad95,db656ac8,Kathleen Cruz,Female,65,douglastaylor@hotmail.com,Aimeeshire,Arkansas,USA,7ccceaf6,Body Lotion,Beauty,Body Lotion Model 9,211.11,4,8/28/2024,3/5/2025,UPI,4
6b2c566f,ee9a4532,Gary Cowan,Other,19,pbright@wagner.com,East Tiffany,Missouri,USA,4a10acf1,Non-Fiction,Books,Non-Fiction Model 7,45.47,3,1/28/2024,4/13/2023,Debit Card,3
3c13f8e7,f22e42bf,Angela May,Other,53,rmartin@yahoo.com,Port Evelyn,Arizona,USA,44878a1f,Microwave,Home & Kitchen,Microwave Model 1,904.48,1,9/6/2023,5/16/2024,Credit Card,2
49cf5e3a,7880ee8b,Matthew Lin,Other,44,angela29@yahoo.com,Kathleenville,Kentucky,USA,41e9e461,Toaster,Home & Kitchen,Toaster Model 10,490.15,4,10/3/2023,7/14/2023,Debit Card,3
eb3d5bf0,342341c1,Tony Bush,Male,44,gregorybrown@foley.com,Davidland,Maryland,USA,6a966623,Microwave,Home & Kitchen,Microwave Model 8,452.45,2,3/2/2024,5/27/2023,Credit Card,5
7c29d4f9,2dbb2113,George Turner,Male,47,mjennings@hotmail.com,New Randall,Wyoming,USA,6221cad5,Lipstick,Beauty,Lipstick Model 4,326.15,5,10/16/2024,2/17/2025,Net Banking,3
1907a3ca,041d177c,Christopher Wilson,Male,29,thompsonchristine@smith-dennis.com,Amandatown,Hawaii,USA,754651ce,Headphones,Electronics,Headphones Model 7,701.16,1,7/2/2023,11/4/2024,Credit Card,5
a8ace48d,63a9af30,Brian Travis,Other,45,thomas38@yahoo.com,New Michaelside,Maryland,USA,c0cb9ab6,Laptop,Electronics,Laptop Model 2,319.55,4,10/13/2024,1/5/2025,Net Banking,1
d1b85c41,9961fe0d,Ashley Moore,Female,63,millscurtis@sherman.net,Lake Michael,Utah,USA,b7893733,Fiction,Books,Fiction Model 6,726.63,2,7/10/2023,8/24/2023,Net Banking,5
98e1a2ad,53f29ede,Linda Short,Other,25,craig59@gmail.com,Davidburgh,New Jersey,USA,2b47a9b0,Smartphone,Electronics,Smartphone Model 2,741.36,2,4/30/2023,1/16/2025,UPI,3
5f00a221,4fb1a872,Christopher Middleton,Other,37,imiller@bird-butler.com,Lisaburgh,Oklahoma,USA,e4e30d18,Educational,Books,Educational Model 6,21.89,2,2/21/2025,6/2/2023,Credit Card,4
8b92c427,ed5e60af,Laura Smith,Male,65,zwilliams@gmail.com,East Frank,Nebraska,USA,2f99a6e4,Shoes,Clothing,Shoes Model 2,109.38,2,11/24/2023,9/22/2024,Credit Card,1
f333e4b7,d4878af2,Michael Harper,Other,63,molinajoel@hernandez.net,Bensonview,Pennsylvania,USA,26c133ec,Biography,Books,Biography Model 5,524.44,5,10/2/2024,6/3/2023,UPI,3
7461271a,7df60944,Andrew Morrow,Female,40,gabriela25@patel.com,East Ralphville,Wyoming,USA,cf04350c,Perfume,Beauty,Perfume Model 7,994.78,3,10/7/2023,11/26/2024,Credit Card,5
6a8728fc,f34ff913,Rebecca Rowland,Other,43,penapaul@wright-green.info,New Molly,Arizona,USA,4b9832db,Shoes,Clothing,Shoes Model 2,148.32,5,1/1/2025,8/13/2024,Debit Card,2
d2c395a1,1b1214bf,Amanda Sanders,Male,20,sarah72@watkins.com,Port Davidland,Kentucky,USA,958ab923,Biography,Books,Biography Model 1,666.74,3,6/3/2023,12/27/2023,Debit Card,1
c767d2e1,710cf41f,Edward Shaffer,Male,63,russellelizabeth@hotmail.com,Port Kyleport,West Virginia,USA,bb5f405f,Jeans,Clothing,Jeans Model 2,666.52,2,6/5/2023,11/29/2024,Cash on Delivery,4
